GO_Term,AUROC,From_Level,AUROC_difference,Ones,Zeros,Size,TL,Balance,Ontology,Frozen,LR,Data,Time
GO:0050789,0.7187,2,0.0331,4580,4540,9120,1,0.9956,bp,1,0.0001,Aug,27.8627
GO:0048856,0.6775,2,0.0733,7937,7951,15888,1,0.9991,bp,1,0.0001,Aug,161.1828
GO:0048519,0.6374,2,-0.0956,2267,2641,4908,1,0.9238,bp,1,0.0001,Aug,7.6047
GO:0048523,0.4284,2,-0.258,2430,2104,4534,1,0.9281,bp,1,0.0001,Aug,7.053
GO:0060255,0.6347,2,-0.0764,1753,1514,3267,1,0.9268,bp,1,0.0001,Aug,5.311
GO:0048518,0.4089,3,-0.1953,10732,11951,22683,1,0.9463,bp,1,0.0001,Aug,82.758
GO:0048523,0.4774,3,-0.244,11265,10761,22026,1,0.9771,bp,1,0.0001,Aug,119.3771
GO:0060255,0.5999,3,-0.1591,6224,6343,12567,1,0.9905,bp,1,0.0001,Aug,123.0525
GO:0050789,0.7546,2,0.0656,4333,4283,8616,1,0.9942,bp,1,0.0001,Aug,44.3809
GO:0048856,0.6753,2,0.0464,7949,7916,15865,1,0.9979,bp,1,0.0001,Aug,23.096
GO:0048518,0.4403,2,-0.3179,3390,2920,6310,1,0.9255,bp,1,0.0001,Aug,26.718
GO:0048519,0.6545,2,-0.0962,2062,2423,4485,1,0.9195,bp,1,0.0001,Aug,21.6418
GO:0048523,0.5312,2,-0.1545,2184,2013,4197,1,0.9593,bp,1,0.0001,Aug,46.3157
GO:0060255,0.6366,2,-0.0902,1739,1630,3369,1,0.9676,bp,1,0.0001,Aug,20.4122
GO:0048518,0.4214,3,-0.2075,10739,12067,22806,1,0.9418,bp,1,0.0001,Aug,92.9507
GO:0048522,0.4871,3,-0.2117,11727,9867,21594,1,0.9139,bp,1,0.0001,Aug,70.9003
GO:0048523,0.5002,3,-0.2329,11025,11314,22339,1,0.9871,bp,1,0.0001,Aug,227.1964
GO:0060255,0.5889,3,-0.1838,6016,6335,12351,1,0.9742,bp,1,0.0001,Aug,127.4436
